Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
age_index,numerical,67,NA,67,70883,0,0,70883,3106,67777,0.04381868713231663,0,1,1,1,72.13412242709818,73.88248551191242,72.05400061967924,0.025348404204696917,0.0375,0.0375,0,0,NaN,20,61,68,75,82,85,85,19,59,65,73,81,85,85
age_pc,numerical,67,NA,67,70883,0,0,70883,3106,67777,0.04381868713231663,0,1,1,1,70.00485306773133,70.88441725692209,69.96454549478436,0.013140114175337727,0.01817,0.01817,0,0,NaN,19,57,64,71,80,85,85,19,57,63,70,78,85,85
c00142_claim_cnt,numerical,8,NA,8,70883,0,0,1575,69,1506,0.04380952380952381,4.859502842364388e-6,0.022219714176883034,0.022215067611075338,0.022219927113917702,0.03974154592779651,0.037990985189954925,0.03982176844652316,0.04606723804590918,-5e-5,5e-5,0.98961,0.993518926925609,0.9997763309619606,0,0,0,0,0,0,4,0,0,0,0,0,0,8
c00142_flag,numerical,2,NA,2,70883,0,0,1575,69,1506,0.04380952380952381,4.859502842364388e-6,0.022219714176883034,0.022215067611075338,0.022219927113917702,0.022219714176883034,0.022215067611075338,0.022219927113917702,2.1870231109543805e-4,-1e-5,1e-5,0.99857,0.9988383253170091,0.9997763309619606,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c00142_index_max_dd,numerical,631,Date_Difference,631,1575,69308,0.9777802858231169,1572,69,1503,0.04389312977099236,3.940330017341079e-5,0.02217739091178421,0.022215067611075338,0.022175664310901927,361.83238095238096,379.27536231884056,361.0332005312085,0.05041605657187671,0.01958,0.01958,0.43748,0.6700605959156344,Inf,5,132.6,240,398,518,579.4000000000001,723,0,76,166.25,349,552,664,730
c00142_index_min_dd,numerical,642,Date_Difference,642,1575,69308,0.9777802858231169,1573,69,1504,0.043865225683407505,2.464903250148573e-5,0.02219149866681715,0.022215067611075338,0.022190418578573852,382.15238095238095,393.3478260869565,381.6394422310757,0.030637997928213256,0.01181,0.01181,0.63943,0.8147092731829575,Inf,5,149.8,263,418,524,601.2,723,0,91,191,378.5,575,678,730
c00142_max_min_dd,numerical,117,Date_Difference,117,1575,69308,0.9777802858231169,822,37,785,0.045012165450121655,3.30327437101716e-4,0.011596574637078002,0.011912427559562138,0.011582100122460422,20.32,14.072463768115941,20.606241699867198,0.32154418955468783,-0.0028,0.0028,0.91161,0.9570022372648004,1.0619824840764331,0,0,0,7,21,42,86,0,0,0,7,21,49,532
c00740_claim_cnt,numerical,9,NA,9,70883,0,0,1536,54,1482,0.03515625,0.004480119602862997,0.02166951173059831,0.017385705086928525,0.02186582468979152,0.030529181891285638,0.025756600128783,0.030747893828289834,0.16349254681245057,-0.00628,0.00628,0.09429,0.25419961697112553,0.7914833838300762,0,0,0,0,0,0,4,0,0,0,0,0,0,11
c00740_flag,numerical,2,NA,2,70883,0,0,1536,54,1482,0.03515625,0.004480119602862997,0.02166951173059831,0.017385705086928525,0.02186582468979152,0.02166951173059831,0.017385705086928525,0.02186582468979152,0.20674760274071471,-0.0063,0.0063,0.09358,0.25315180153573535,0.7914833838300762,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c00740_index_max_dd,numerical,567,Date_Difference,567,1536,69347,0.9783304882694017,1446,53,1393,0.03665283540802213,0.0034889472816715394,0.020399813777633564,0.01706374758531874,0.020552694866990278,234.90494791666666,238.3148148148148,234.78070175438597,0.01504486428137127,0.02126,0.02126,0.40505,0.64350234375,3.3862167982771,0,26.6,77.75,194.5,379.5,523.6,704,0,5,33,166.5,400,595,729
