Variable,Type,NumUniqueValues,Variable_Type,Code,Description,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
age_index,numerical,67,,,,67,70883,0,0.0,70883,3106,67777.0,0.04381868713231663,0.0,1.0,1.0,1.0,72.13412242709819,73.88248551191242,72.05400061967923,0.025348404204696917,0.0375,0.0375,0.0,0.0,,20.0,61.0,68.0,75.0,82.0,85.0,85,19.0,59.0,65.0,73.0,81.0,85.0,85
age_pc,numerical,67,,,,67,70883,0,0.0,70883,3106,67777.0,0.04381868713231663,0.0,1.0,1.0,1.0,70.00485306773133,70.88441725692209,69.96454549478436,0.013140114175337728,0.01817,0.01817,0.0,0.0,,19.0,57.0,64.0,71.0,80.0,85.0,85,19.0,57.0,63.0,70.0,78.0,85.0,85
c00142_claim_cnt,numerical,8,,,,8,70883,0,0.0,1575,69,1506.0,0.04380952380952381,4.859502842364388e-06,0.022219714176883038,0.022215067611075338,0.022219927113917702,0.03974154592779651,0.037990985189954925,0.03982176844652316,0.04606723804590918,-5e-05,5e-05,0.98961,0.993518926925609,0.9997763309619606,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,8
c00142_flag,numerical,2,,,,2,70883,0,0.0,1575,69,1506.0,0.04380952380952381,4.859502842364388e-06,0.022219714176883038,0.022215067611075338,0.022219927113917702,0.022219714176883038,0.022215067611075338,0.022219927113917702,0.00021870231109543805,-1e-05,1e-05,0.9985700000000001,0.9988383253170092,0.9997763309619606,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c00142_index_max_dd,numerical,631,Date_Difference,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,631,1575,69308,0.9777802858231168,1572,69,1503.0,0.04389312977099236,3.940330017341079e-05,0.02217739091178421,0.022215067611075338,0.022175664310901927,361.8323809523809,379.27536231884056,361.0332005312085,0.05041605657187671,0.01958,0.01958,0.43748000000000004,0.6700605959156344,inf,5.0,132.6,240.0,398.0,518.0,579.4000000000002,723,0.0,76.0,166.25,349.0,552.0,664.0,730
c00142_index_min_dd,numerical,642,Date_Difference,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,642,1575,69308,0.9777802858231168,1573,69,1504.0,0.04386522568340751,2.464903250148573e-05,0.02219149866681715,0.022215067611075338,0.02219041857857385,382.1523809523809,393.3478260869565,381.6394422310757,0.030637997928213256,0.01181,0.01181,0.63943,0.8147092731829575,inf,5.0,149.8,263.0,418.0,524.0,601.2,723,0.0,91.0,191.0,378.5,575.0,678.0,730
c00142_max_min_dd,numerical,117,Date_Difference,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,117,1575,69308,0.9777802858231168,822,37,785.0,0.045012165450121655,0.00033032743710171604,0.011596574637078002,0.011912427559562138,0.011582100122460422,20.32,14.07246376811594,20.606241699867198,0.32154418955468783,-0.0028,0.0028,0.91161,0.9570022372648004,1.0619824840764331,0.0,0.0,0.0,7.0,21.0,42.0,86,0.0,0.0,0.0,7.0,21.0,49.0,532
c00740_claim_cnt,numerical,9,,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,9,70883,0,0.0,1536,54,1482.0,0.03515625,0.004480119602862997,0.02166951173059831,0.017385705086928525,0.021865824689791518,0.030529181891285638,0.025756600128782996,0.030747893828289838,0.16349254681245054,-0.00628,0.00628,0.09429,0.25419961697112553,0.7914833838300762,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,11
c00740_flag,numerical,2,,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,2,70883,0,0.0,1536,54,1482.0,0.03515625,0.004480119602862997,0.02166951173059831,0.017385705086928525,0.021865824689791518,0.02166951173059831,0.017385705086928525,0.021865824689791518,0.20674760274071471,-0.0063,0.0063,0.09358,0.2531518015357353,0.7914833838300762,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c00740_index_max_dd,numerical,567,Date_Difference,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",567,1536,69347,0.9783304882694016,1446,53,1393.0,0.03665283540802213,0.0034889472816715394,0.02039981377763356,0.017063747585318742,0.02055269486699028,234.90494791666663,238.3148148148148,234.78070175438597,0.015044864281371268,0.02126,0.02126,0.40505,0.64350234375,3.3862167982771005,0.0,26.6,77.75,194.5,379.5,523.6,704,0.0,5.0,33.0,166.5,400.0,595.0,729
