Variable,Type,NumUniqueValues,Code,Description,Variable_Type,Positive Above 0,Negative Above 0,Positive Mean,Negative Mean
patient_id,key,70883,,,NA,3106,67777,808257689.0357373,809692169.7868451
age_index,numerical,67,,,NA,3106,67777,73.88248551191242,72.05400061967924
age_pc,numerical,67,,,NA,3106,67777,70.88441725692209,69.96454549478436
c00142_claim_cnt,numerical,8,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,NA,69,1506,0.037990985189954925,0.03982176844652316
c00142_flag,numerical,2,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,NA,69,1506,0.022215067611075338,0.022219927113917702
c00142_index_max_dd,numerical,631,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,Date_Difference,69,1503,379.27536231884056,361.0332005312085
c00142_index_min_dd,numerical,642,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,Date_Difference,69,1504,393.3478260869565,381.6394422310757
c00142_max_min_dd,numerical,117,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,Date_Difference,37,785,14.072463768115941,20.606241699867198
c00740_claim_cnt,numerical,9,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",NA,54,1482,0.025756600128783,0.030747893828289834
c00740_flag,numerical,2,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",NA,54,1482,0.017385705086928525,0.02186582468979152
c00740_index_max_dd,numerical,567,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",Date_Difference,53,1393,238.3148148148148,234.78070175438597
c00740_index_min_dd,numerical,573,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",Date_Difference,53,1403,265.14814814814815,255.10728744939271
c00740_max_min_dd,numerical,133,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",Date_Difference,8,169,26.833333333333332,20.32658569500675
c00810_claim_cnt,numerical,7,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",NA,112,3085,0.04185447520927238,0.055992445814951976
c00810_flag,numerical,2,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",NA,112,3085,0.0360592401802962,0.045516915767885864
c00810_index_max_dd,numerical,719,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",Date_Difference,111,3019,316.04464285714283,300.65024311183146
c00810_index_min_dd,numerical,718,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",Date_Difference,111,3023,330.54464285714283,311.9034035656402
c00810_max_min_dd,numerical,125,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",Date_Difference,4,153,14.5,11.253160453808752
c00865_claim_cnt,numerical,5,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",NA,16,2231,0.005795235028976175,0.04367263230889535
c00865_flag,numerical,2,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",NA,16,2231,0.0051513200257566,0.032916771176062676
c00865_index_max_dd,numerical,474,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",Date_Difference,15,866,388.125,103.67727476467951
c00865_index_min_dd,numerical,472,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",Date_Difference,15,869,388.125,104.02868668758404
c00865_max_min_dd,numerical,8,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",Date_Difference,0,6,0,0.3514119229045271
c00910_claim_cnt,numerical,14,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,NA,82,1293,0.0412105602060528,0.031190521858447555
c00910_flag,numerical,2,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,NA,82,1293,0.026400515132002575,0.019077268099797866
c00910_index_max_dd,numerical,528,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,Date_Difference,74,1170,232.20731707317074,204.25444702242845
c00910_index_min_dd,numerical,554,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,Date_Difference,75,1194,276.9634146341463,243.2954369682908
c00910_max_min_dd,numerical,197,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,Date_Difference,17,243,44.75609756097561,39.040989945862336
c00914_claim_cnt,numerical,6,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,NA,78,1164,0.03541532517707663,0.022810097820794663
c00914_flag,numerical,2,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,NA,78,1164,0.025112685125563427,0.017173967570119658
c00914_index_max_dd,numerical,521,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,Date_Difference,76,1060,325.0897435897436,217.15292096219932
c00914_index_min_dd,numerical,529,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,Date_Difference,77,1067,334.29487179487177,231.4914089347079
c00914_max_min_dd,numerical,68,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,Date_Difference,6,73,9.205128205128204,14.338487972508592
c1036f_claim_cnt,numerical,32,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",NA,408,6853,0.39890534449452675,0.292178762707113
c1036f_flag,numerical,2,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",NA,408,6853,0.1313586606567933,0.10111099635569588
c1036f_index_max_dd,numerical,728,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",Date_Difference,342,6007,212.37745098039215,205.2486502261783
c1036f_index_min_dd,numerical,732,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",Date_Difference,390,6550,396.6593137254902,366.31168831168833
c1036f_max_min_dd,numerical,711,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",Date_Difference,233,3812,184.28186274509804,161.06303808551
c1101f_claim_cnt,numerical,20,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),NA,88,1742,0.05795235028976175,0.050312052761261196
c1101f_flag,numerical,2,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),NA,88,1742,0.028332260141661302,0.025701934284491787
c1101f_index_max_dd,numerical,596,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),Date_Difference,79,1622,236.1818181818182,226.51435132032148
c1101f_index_min_dd,numerical,658,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),Date_Difference,84,1672,317.46590909090907,313.89092996555684
c1101f_max_min_dd,numerical,361,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),Date_Difference,27,608,81.2840909090909,87.37657864523536
c11100_claim_cnt,numerical,9,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",NA,65,1498,0.02607855763039279,0.027649497617185773
c11100_flag,numerical,2,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",NA,65,1498,0.02092723760463619,0.02210189297254231
c11100_index_max_dd,numerical,628,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",Date_Difference,65,1472,380.5692307692308,331.40987983978636
c11100_index_min_dd,numerical,632,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",Date_Difference,65,1475,411.55384615384617,365.48064085447265
c11100_max_min_dd,numerical,164,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",Date_Difference,9,201,30.984615384615385,34.07076101468625
c1123f_claim_cnt,numerical,25,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",NA,96,1882,0.07823567289117836,0.06711716363958276
c1123f_flag,numerical,2,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",NA,96,1882,0.030907920154539602,0.027767531758561163
c1123f_index_max_dd,numerical,533,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",Date_Difference,67,1458,162.95833333333334,157.41126461211476
c1123f_index_min_dd,numerical,627,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",Date_Difference,77,1618,275.5833333333333,247.3528161530287
c1123f_max_min_dd,numerical,412,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",Date_Difference,39,857,112.625,89.94155154091392
c1126f_claim_cnt,numerical,16,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),NA,60,1216,0.03219575016097875,0.03482007170574088
c1126f_flag,numerical,2,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),NA,60,1216,0.019317450096587252,0.01794118948905971
c1126f_index_max_dd,numerical,491,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),Date_Difference,50,1061,175.38333333333333,204.59292763157896
c1126f_index_min_dd,numerical,573,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),Date_Difference,54,1120,237.28333333333333,314.26973684210526
c1126f_max_min_dd,numerical,335,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),Date_Difference,17,462,61.9,109.67680921052632
c1159f_claim_cnt,numerical,28,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),NA,85,2187,0.06084996780424984,0.08575180370922289
c1159f_flag,numerical,2,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),NA,85,2187,0.027366387636831937,0.032267583398498015
c1159f_index_max_dd,numerical,599,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),Date_Difference,77,1887,212.58823529411765,180.4883401920439
c1159f_index_min_dd,numerical,682,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),Date_Difference,81,2042,347.9647058823529,337.2039323273891
c1159f_max_min_dd,numerical,527,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),Date_Difference,36,1005,135.3764705882353,156.71559213534522
c1160f_claim_cnt,numerical,25,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",NA,83,2064,0.061171925305859624,0.08136978621066143
c1160f_flag,numerical,2,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",NA,83,2064,0.026722472633612365,0.03045280847485135
c1160f_index_max_dd,numerical,579,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",Date_Difference,76,1786,219.710843373494,180.71608527131784
c1160f_index_min_dd,numerical,676,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",Date_Difference,80,1926,360.5542168674699,338.60804263565893
c1160f_max_min_dd,numerical,525,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",Date_Difference,35,966,140.84337349397592,157.8919573643411
c1170f_claim_cnt,numerical,19,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),NA,72,1743,0.03477141017385705,0.04784809006004987
c1170f_flag,numerical,2,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),NA,72,1743,0.0231809401159047,0.025716688552163712
c1170f_index_max_dd,numerical,563,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),Date_Difference,66,1548,219.81944444444446,208.21858864027539
c1170f_index_min_dd,numerical,663,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),Date_Difference,69,1621,310.40277777777777,327.2134251290878
c1170f_max_min_dd,numerical,397,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),Date_Difference,21,620,90.58333333333333,118.9948364888124
c11721_claim_cnt,numerical,18,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,NA,64,1537,0.07372826786864134,0.07067294214851645
c11721_flag,numerical,2,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,NA,64,1537,0.0206052801030264,0.022677309411747348
c11721_index_max_dd,numerical,546,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,Date_Difference,64,1529,219.09375,207.54391672088485
c11721_index_min_dd,numerical,635,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,Date_Difference,64,1532,454.515625,406.3636955107352
c11721_max_min_dd,numerical,437,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,Date_Difference,43,897,235.421875,198.81977878985035
c17000_claim_cnt,numerical,15,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",NA,146,2594,0.0853187379265937,0.06391548755477522
c17000_flag,numerical,2,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",NA,146,2594,0.04700579523502898,0.038272570340971125
c17000_index_max_dd,numerical,695,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",Date_Difference,146,2579,300.95205479452056,295.61449498843484
c17000_index_min_dd,numerical,705,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",Date_Difference,146,2584,432.63013698630135,400.902467232074
c17000_max_min_dd,numerical,423,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",Date_Difference,54,892,131.67808219178082,105.28797224363916
c17003_claim_cnt,numerical,13,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",NA,109,1954,0.06342562781712814,0.0470070968027502
c17003_flag,numerical,2,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",NA,109,1954,0.035093367675466836,0.028829839030939698
c17003_index_max_dd,numerical,659,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",Date_Difference,109,1947,287.4954128440367,296.43858751279424
c17003_index_min_dd,numerical,691,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",Date_Difference,109,1948,427.23853211009174,397.057318321392
c17003_max_min_dd,numerical,355,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",Date_Difference,46,646,139.74311926605503,100.61873080859775
c17110_claim_cnt,numerical,15,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",NA,52,1124,0.03316162266580811,0.02487569529486404
