Variable,Type,NumUniqueValues,Code,Description,Class,Variable_Type,Positive Above 0,Negative Above 0,Positive Mean above 0,Negative Mean above 0
patient_id,key,70883,,,,NA,3106,67777,808257689.0357373,809692169.7868451
age_index,numerical,67,,,,NA,3106,67777,73.88248551191242,72.05400061967924
age_pc,numerical,67,,,,NA,3106,67777,70.88441725692209,69.96454549478436
c00142_claim_cnt,numerical,8,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT,NA,69,1506,1.710144927536232,1.7921646746347941
c00142_index_max_dd,numerical,631,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT,Date_Difference,69,1503,379.27536231884056,361.7538256819694
c00142_index_min_dd,numerical,642,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT,Date_Difference,69,1504,393.3478260869565,382.1469414893617
c00142_max_min_dd,numerical,117,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT,Date_Difference,37,785,26.243243243243242,39.53248407643312
c00740_claim_cnt,numerical,9,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT,NA,54,1482,1.4814814814814814,1.4062078272604588
c00740_index_max_dd,numerical,567,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT,Date_Difference,53,1393,242.81132075471697,249.78104809763101
c00740_index_min_dd,numerical,573,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT,Date_Difference,53,1403,270.1509433962264,269.471846044191
c00740_max_min_dd,numerical,133,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT,Date_Difference,8,169,181.125,178.24852071005918
c00810_claim_cnt,numerical,7,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT,NA,112,3085,1.1607142857142858,1.2301458670988654
c00810_index_max_dd,numerical,719,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT,Date_Difference,111,3019,318.8918918918919,307.2229214971845
c00810_index_min_dd,numerical,718,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT,Date_Difference,111,3023,333.52252252252254,318.30036387694344
c00810_max_min_dd,numerical,125,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT,Date_Difference,4,153,406,226.90196078431373
c00865_claim_cnt,numerical,5,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT,NA,16,2231,1.125,1.3267593007619902
c00865_index_max_dd,numerical,474,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT,Date_Difference,15,866,414,267.094688221709
c00865_index_min_dd,numerical,472,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT,Date_Difference,15,869,414,267.0747986191024
c00865_max_min_dd,numerical,8,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT,Date_Difference,0,6,NaN,130.66666666666666
c00910_claim_cnt,numerical,14,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT,NA,82,1293,1.5609756097560976,1.6349574632637278
c00910_index_max_dd,numerical,528,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT,Date_Difference,74,1170,257.31081081081084,225.72735042735042
c00910_index_min_dd,numerical,554,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT,Date_Difference,75,1194,302.81333333333333,263.46817420435514
c00910_max_min_dd,numerical,197,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT,Date_Difference,17,243,215.88235294117646,207.7366255144033
c00914_claim_cnt,numerical,6,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT,NA,78,1164,1.4102564102564104,1.3281786941580755
c00914_index_max_dd,numerical,521,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT,Date_Difference,76,1060,333.64473684210526,238.45849056603774
c00914_index_min_dd,numerical,529,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT,Date_Difference,77,1067,338.6363636363636,252.53608247422682
c00914_max_min_dd,numerical,68,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT,Date_Difference,6,73,119.66666666666667,228.63013698630138
c1036f_claim_cnt,numerical,32,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT,NA,408,6853,3.036764705882353,2.8896833503575077
c1036f_index_max_dd,numerical,728,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT,Date_Difference,342,6007,253.36257309941521,234.15498584984186
c1036f_index_min_dd,numerical,732,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT,Date_Difference,390,6550,414.96666666666664,383.25709923664124
c1036f_max_min_dd,numerical,711,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT,Date_Difference,233,3812,322.6909871244635,289.55010493179435
c1101f_claim_cnt,numerical,20,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT,NA,88,1742,2.0454545454545454,1.95752009184845
c1101f_index_max_dd,numerical,596,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT,Date_Difference,79,1622,263.0886075949367,243.27250308261407
c1101f_index_min_dd,numerical,658,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT,Date_Difference,84,1672,332.5833333333333,327.0322966507177
c1101f_max_min_dd,numerical,361,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT,Date_Difference,27,608,264.9259259259259,250.3453947368421
c11100_claim_cnt,numerical,9,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT,NA,65,1498,1.2461538461538462,1.2510013351134845
c11100_index_max_dd,numerical,628,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT,Date_Difference,65,1472,380.5692307692308,337.26358695652175
c11100_index_min_dd,numerical,632,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT,Date_Difference,65,1475,411.55384615384617,371.1796610169491
c11100_max_min_dd,numerical,164,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT,Date_Difference,9,201,223.77777777777777,253.92039800995025
c1123f_claim_cnt,numerical,25,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT,NA,96,1882,2.53125,2.417109458023379
c1123f_index_max_dd,numerical,533,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT,Date_Difference,67,1458,233.49253731343285,203.18792866941016
c1123f_index_min_dd,numerical,627,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT,Date_Difference,77,1618,343.5844155844156,287.71199011124844
c1123f_max_min_dd,numerical,412,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT,Date_Difference,39,857,277.2307692307692,197.51458576429405
c1126f_claim_cnt,numerical,16,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT,NA,60,1216,1.6666666666666667,1.9407894736842106
c1126f_index_max_dd,numerical,491,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT,Date_Difference,50,1061,210.46,234.48162111215834
c1126f_index_min_dd,numerical,573,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT,Date_Difference,54,1120,263.64814814814815,341.20714285714286
c1126f_max_min_dd,numerical,335,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT,Date_Difference,17,462,218.47058823529412,288.67316017316017
c1159f_claim_cnt,numerical,28,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT,NA,85,2187,2.223529411764706,2.657521719250114
c1159f_index_max_dd,numerical,599,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT,Date_Difference,77,1887,234.67532467532467,209.18282988871223
c1159f_index_min_dd,numerical,682,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT,Date_Difference,81,2042,365.14814814814815,361.14838393731634
c1159f_max_min_dd,numerical,527,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT,Date_Difference,36,1005,319.6388888888889,341.0318407960199
c1160f_claim_cnt,numerical,25,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT,NA,83,2064,2.289156626506024,2.6719961240310077
c1160f_index_max_dd,numerical,579,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT,Date_Difference,76,1786,239.94736842105263,208.8454647256439
c1160f_index_min_dd,numerical,676,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT,Date_Difference,80,1926,374.075,362.8696780893043
c1160f_max_min_dd,numerical,525,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT,Date_Difference,35,966,334,337.3592132505176
c1170f_claim_cnt,numerical,19,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT,NA,72,1743,1.5,1.8605851979345955
c1170f_index_max_dd,numerical,563,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT,Date_Difference,66,1548,239.8030303030303,234.44767441860466
c1170f_index_min_dd,numerical,663,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT,Date_Difference,69,1621,323.8985507246377,351.8402220851326
c1170f_max_min_dd,numerical,397,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT,Date_Difference,21,620,310.57142857142856,334.5290322580645
c11721_claim_cnt,numerical,18,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT,NA,64,1537,3.578125,3.1164606376057256
c11721_index_max_dd,numerical,546,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT,Date_Difference,64,1529,219.09375,208.62982341399606
c11721_index_min_dd,numerical,635,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT,Date_Difference,64,1532,454.515625,407.68994778067884
c11721_max_min_dd,numerical,437,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT,Date_Difference,43,897,350.3953488372093,340.67558528428094
c17000_claim_cnt,numerical,15,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT,NA,146,2594,1.8150684931506849,1.6700077101002313
c17000_index_max_dd,numerical,695,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT,Date_Difference,146,2579,300.95205479452056,297.3338503295851
c17000_index_min_dd,numerical,705,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT,Date_Difference,146,2584,432.63013698630135,402.45394736842104
c17000_max_min_dd,numerical,423,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT,Date_Difference,54,892,356.01851851851853,306.18497757847535
c17003_claim_cnt,numerical,13,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT,NA,109,1954,1.8073394495412844,1.6305015353121801
c17003_index_max_dd,numerical,659,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT,Date_Difference,109,1947,287.4954128440367,297.50436569080637
c17003_index_min_dd,numerical,691,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT,Date_Difference,109,1948,427.23853211009174,398.2802874743326
c17003_max_min_dd,numerical,355,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT,Date_Difference,46,646,331.1304347826087,304.3482972136223
c17110_claim_cnt,numerical,15,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT,NA,52,1124,1.9807692307692308,1.5
c17110_index_max_dd,numerical,558,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT,Date_Difference,52,1119,264.1730769230769,322.7524575513852
c17110_index_min_dd,numerical,563,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT,Date_Difference,52,1120,367.3269230769231,374.26964285714286
c17110_max_min_dd,numerical,179,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT,Date_Difference,18,248,298,233.95967741935485
c2022f_claim_cnt,numerical,11,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT,NA,49,893,1.510204081632653,1.612541993281075
c2022f_index_max_dd,numerical,520,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT,Date_Difference,48,888,325.3541666666667,310.3265765765766
c2022f_index_min_dd,numerical,522,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT,Date_Difference,48,891,394.9166666666667,413.7665544332211
c2022f_max_min_dd,numerical,219,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT,Date_Difference,12,318,278.25,292.75471698113205
c20610_claim_cnt,numerical,25,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT,NA,154,3266,2.3896103896103895,2.2299448867115736
c20610_index_max_dd,numerical,710,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT,Date_Difference,154,3246,330.5,289.7560073937153
c20610_index_min_dd,numerical,720,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT,Date_Difference,154,3255,429.8831168831169,384.8909370199693
c20610_max_min_dd,numerical,526,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT,Date_Difference,65,1306,235.46153846153845,239.10566615620215
c3008f_claim_cnt,numerical,26,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT,NA,50,1410,1.88,2.626950354609929
c3008f_index_max_dd,numerical,488,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT,Date_Difference,45,1247,206.0222222222222,195.5485164394547
