Variable,Type,NumUniqueValues,Variable_Type,Positive Above 0,Negative Above 0,Positive Mean above 0,Negative Mean above 0
patient_id,key,5252,NA,276,4976,801247304.6376811,810848693.3665595
metac_site_bladder_cancer,numerical,2,NA,2,68,1,1
metac_site_bone_connective_tissue_cancer,numerical,2,NA,238,3343,1,1
metac_site_brain_nervous_system_cancer,numerical,2,NA,1,120,1,1
metac_site_breast_cancer,numerical,2,NA,2,23,1,1
metac_site_colorectal_cancer_crc,numerical,2,NA,0,28,NaN,1
metac_site_head_neck_cancer,numerical,2,NA,2,61,1,1
metac_site_kidney_cancer,numerical,2,NA,0,4,NaN,1
metac_site_liver_cancer,numerical,2,NA,2,262,1,1
metac_site_lung_cancer,numerical,2,NA,3,166,1,1
metac_site_other_cancer,numerical,2,NA,26,894,1,1
metac_site_skin_cancer,numerical,2,NA,0,7,NaN,1
onc_ecog1,numerical,5,NA,17,216,1.1764705882352942,1.2268518518518519
onc_ecog10,numerical,4,NA,1,25,1,1.12
onc_ecog11,numerical,4,NA,0,20,NaN,1.15
onc_ecog12,numerical,4,NA,0,16,NaN,1.1875
onc_ecog13,numerical,4,NA,0,17,NaN,1.0588235294117647
onc_ecog14,numerical,4,NA,0,14,NaN,1.0714285714285714
onc_ecog15,numerical,4,NA,0,11,NaN,1.0909090909090908
onc_ecog16,numerical,4,NA,0,9,NaN,1.1111111111111112
onc_ecog17,numerical,4,NA,0,9,NaN,1.1111111111111112
onc_ecog18,numerical,4,NA,0,7,NaN,1.1428571428571428
onc_ecog19,numerical,4,NA,0,6,NaN,1.1666666666666667
onc_ecog2,numerical,5,NA,6,104,1.1666666666666667,1.2788461538461537
onc_ecog20,numerical,4,NA,0,7,NaN,1.1428571428571428
onc_ecog21,numerical,3,NA,0,5,NaN,1
onc_ecog22,numerical,3,NA,0,4,NaN,1
onc_ecog23,numerical,3,NA,0,4,NaN,1
onc_ecog24,numerical,3,NA,0,5,NaN,1
onc_ecog25,numerical,3,NA,0,3,NaN,1
onc_ecog26,numerical,3,NA,0,3,NaN,1
onc_ecog27,numerical,3,NA,0,2,NaN,1
onc_ecog28,numerical,3,NA,0,1,NaN,1
onc_ecog29,numerical,3,NA,0,2,NaN,1
onc_ecog3,numerical,4,NA,2,76,1,1.1710526315789473
onc_ecog30,numerical,3,NA,0,2,NaN,1
onc_ecog4,numerical,4,NA,2,55,1,1.1636363636363636
onc_ecog5,numerical,4,NA,3,48,1,1.1458333333333333
onc_ecog6,numerical,4,NA,3,38,1.3333333333333333,1.263157894736842
onc_ecog7,numerical,4,NA,2,30,1,1.2333333333333334
onc_ecog8,numerical,4,NA,1,30,1,1.2
onc_ecog9,numerical,4,NA,1,31,2,1.1612903225806452
onc_ecog_date10_index_dd,numerical,44,Date_Difference,2,44,466.5,290.8181818181818
onc_ecog_date11_index_dd,numerical,37,Date_Difference,1,36,345,306.94444444444446
onc_ecog_date12_index_dd,numerical,33,Date_Difference,0,32,NaN,322.5
onc_ecog_date13_index_dd,numerical,30,Date_Difference,0,29,NaN,310.6896551724138
onc_ecog_date14_index_dd,numerical,28,Date_Difference,0,27,NaN,310.962962962963
onc_ecog_date15_index_dd,numerical,22,Date_Difference,0,21,NaN,351.2857142857143
onc_ecog_date16_index_dd,numerical,16,Date_Difference,0,15,NaN,356.06666666666666
onc_ecog_date17_index_dd,numerical,14,Date_Difference,0,14,NaN,350.2857142857143
onc_ecog_date18_index_dd,numerical,14,Date_Difference,0,13,NaN,357.6923076923077
onc_ecog_date19_index_dd,numerical,13,Date_Difference,0,12,NaN,368
onc_ecog_date1_index_dd,numerical,123,Date_Difference,18,271,80.16666666666667,70.0590405904059
onc_ecog_date20_index_dd,numerical,10,Date_Difference,0,10,NaN,407.8
onc_ecog_date21_index_dd,numerical,10,Date_Difference,0,9,NaN,436.22222222222223
onc_ecog_date22_index_dd,numerical,9,Date_Difference,0,8,NaN,427.625
onc_ecog_date23_index_dd,numerical,8,Date_Difference,0,7,NaN,411.2857142857143
onc_ecog_date24_index_dd,numerical,7,Date_Difference,0,6,NaN,420
onc_ecog_date25_index_dd,numerical,7,Date_Difference,0,6,NaN,460
onc_ecog_date26_index_dd,numerical,6,Date_Difference,0,5,NaN,470.8
onc_ecog_date27_index_dd,numerical,4,Date_Difference,0,3,NaN,328.6666666666667
onc_ecog_date28_index_dd,numerical,4,Date_Difference,0,3,NaN,405
onc_ecog_date29_index_dd,numerical,4,Date_Difference,0,3,NaN,426.6666666666667
onc_ecog_date2_index_dd,numerical,128,Date_Difference,11,187,139.45454545454547,121.18181818181819
onc_ecog_date30_index_dd,numerical,4,Date_Difference,0,3,NaN,439
onc_ecog_date3_index_dd,numerical,112,Date_Difference,5,137,162.4,164.32116788321167
onc_ecog_date4_index_dd,numerical,92,Date_Difference,3,108,189,197.59259259259258
onc_ecog_date5_index_dd,numerical,85,Date_Difference,3,85,230,229.6
onc_ecog_date6_index_dd,numerical,74,Date_Difference,3,74,272.3333333333333,239.71621621621622
onc_ecog_date7_index_dd,numerical,67,Date_Difference,3,66,343.3333333333333,266.8030303030303
onc_ecog_date8_index_dd,numerical,55,Date_Difference,2,57,392.5,271.1578947368421
onc_ecog_date9_index_dd,numerical,52,Date_Difference,2,49,406.5,271.8979591836735
onc_free_testo1,numerical,43,NA,5,60,5.024,6.612166666666667
onc_free_testo2,numerical,13,NA,1,12,1.5,4.506666666666667
onc_free_testo3,numerical,6,NA,1,4,0.5,4.7525
onc_free_testo_date1_index_dd,numerical,51,Date_Difference,5,55,202.2,163.5090909090909
onc_free_testo_date2_index_dd,numerical,14,Date_Difference,1,12,186,292.8333333333333
onc_free_testo_date3_index_dd,numerical,6,Date_Difference,1,4,281,377.25
onc_histology_adenocarcinoma,numerical,2,NA,53,723,1,1
onc_histology_adenocarcinoma_nos,numerical,2,NA,16,303,1,1
onc_histology_carcinoma_nos,numerical,2,NA,0,1,NaN,1
onc_histology_genitourinary_prostate_cancer,numerical,2,NA,22,434,1,1
onc_histology_small_cell,numerical,2,NA,0,1,NaN,1
onc_histology_small_cell_carcinoma,numerical,2,NA,0,2,NaN,1
onc_histology_small_cell_carcinoma_nos,numerical,2,NA,0,3,NaN,1
onc_histology_transitional_cell_carcinoma,numerical,2,NA,0,7,NaN,1
onc_latest_gleason,numerical,10,NA,3,88,6.666666666666667,7.988636363636363
onc_latest_gleason_date_index_dd,numerical,81,Date_Difference,3,83,270.3333333333333,209.25301204819277
onc_latest_m_date_index_dd,numerical,371,Date_Difference,35,724,247.77142857142857,187.76519337016575
onc_latest_m_m0,numerical,2,NA,21,527,1,1
onc_latest_m_m1,numerical,2,NA,2,72,1,1
onc_latest_m_m1a,numerical,2,NA,1,15,1,1
onc_latest_m_m1b,numerical,2,NA,12,133,1,1
onc_latest_m_m1c,numerical,2,NA,1,25,1,1
onc_latest_n_date_index_dd,numerical,297,Date_Difference,20,430,252.55,221.5767441860465
onc_latest_n_n0,numerical,2,NA,12,241,1,1
onc_latest_n_n0_i+,numerical,2,NA,0,1,NaN,1
onc_latest_n_n0_i-,numerical,2,NA,0,4,NaN,1
onc_latest_n_n1,numerical,2,NA,5,148,1,1
onc_latest_n_n1a,numerical,2,NA,2,17,1,1
onc_latest_n_n1b,numerical,2,NA,0,1,NaN,1
onc_latest_n_n1c,numerical,2,NA,0,1,NaN,1
onc_latest_n_n1mi,numerical,2,NA,0,1,NaN,1
onc_latest_n_n2,numerical,2,NA,1,17,1,1
onc_latest_n_n2a,numerical,2,NA,0,4,NaN,1
onc_latest_n_n2b,numerical,2,NA,0,8,NaN,1
onc_latest_n_n2c,numerical,2,NA,0,3,NaN,1
onc_latest_n_n3,numerical,2,NA,0,8,NaN,1
onc_latest_n_n3a,numerical,2,NA,0,1,NaN,1
onc_latest_stage_date_index_dd,numerical,1142,Date_Difference,96,1425,1457.03125,1173.9782456140351
onc_latest_t_date_index_dd,numerical,285,Date_Difference,23,398,236.08695652173913,230.5854271356784
onc_latest_t_t0,numerical,2,NA,0,7,NaN,1
onc_latest_t_t1,numerical,2,NA,2,35,1,1
onc_latest_t_t1a,numerical,2,NA,0,2,NaN,1
onc_latest_t_t1b,numerical,2,NA,2,18,1,1
onc_latest_t_t1c,numerical,2,NA,4,40,1,1
onc_latest_t_t2,numerical,2,NA,3,48,1,1
onc_latest_t_t2a,numerical,2,NA,0,24,NaN,1
onc_latest_t_t2b,numerical,2,NA,2,28,1,1
onc_latest_t_t2c,numerical,2,NA,4,64,1,1
onc_latest_t_t3,numerical,2,NA,2,54,1,1
onc_latest_t_t3a,numerical,2,NA,1,23,1,1
onc_latest_t_t3b,numerical,2,NA,1,28,1,1
onc_latest_t_t3c,numerical,2,NA,0,1,NaN,1
onc_latest_t_t4,numerical,2,NA,2,32,1,1
onc_latest_t_t4a,numerical,2,NA,0,7,NaN,1
onc_latest_t_t4b,numerical,2,NA,0,2,NaN,1
onc_latest_t_tis,numerical,2,NA,0,1,NaN,1
onc_latest_t_tis_dcis,numerical,2,NA,0,5,NaN,1
onc_latest_t_tis_lcis,numerical,2,NA,0,1,NaN,1
onc_psa1,numerical,860,NA,88,1104,112.89272727272727,213.09892960144927
onc_psa10,numerical,78,NA,6,88,36.022099999999995,41.922577272727274
onc_psa11,numerical,75,NA,6,74,34.5961,33.15976081081081
onc_psa12,numerical,60,NA,5,59,31.92242,31.266472881355934
onc_psa13,numerical,48,NA,4,46,17.342125,20.073017391304347
onc_psa14,numerical,40,NA,4,36,10.16545,26.301744444444445
onc_psa15,numerical,32,NA,4,29,11.86945,28.07501724137931
onc_psa16,numerical,24,NA,3,20,23.101566666666663,37.38595
onc_psa17,numerical,20,NA,3,17,5.521766666666666,97.268
onc_psa18,numerical,14,NA,2,11,9.36355,109.25090909090909
onc_psa19,numerical,8,NA,2,5,6.361149999999999,22.61
