Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Above0_P,Positive Above0_P,Negative Above0_P,Mean above 0,Positive Mean above 0,Negative Mean above 0,Precision,Above0_Diff,Percentage Mean Difference above 0,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min above 0,Positive P10 above 0,Positive P25 above 0,Positive P50 above 0,Positive P75 above 0,Positive P90 above 0,Positive Max above 0,Negative Min above 0,Negative P10 above 0,Negative P25 above 0,Negative P50 above 0,Negative P75 above 0,Negative P90 above 0,Negative Max above 0
patient_id,key,5252,NA,5252,5252,0,0,5252,276,4976,1,1,1,810344126.8606246,801247304.6376811,810848693.3665595,0.05255140898705255,0,0.011848532506893548,-0.00108,0.00108,0.93769,0.9932016339869281,NaN,29658787,137374804,367367251.5,760395383.5,1195385049.5,1452561694.5,1884694217,29445604,132013437.5,354857019.75,745101525,1212020488.25,1502436781,2651846992
metac_site_bladder_cancer,numerical,2,NA,2,5252,0,0,70,2,68,0.013328255902513329,0.007246376811594203,0.013665594855305467,1,1,1,0.02857142857142857,0.006419218043711264,0,-0.01249,0.01249,0.36546,0.9514983333333334,0.5268355517389437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_bone_connective_tissue_cancer,numerical,2,NA,2,5252,0,0,3581,238,3343,0.6818354912414318,0.8623188405797102,0.6718247588424437,1,1,1,0.0664618821558224,0.19049408173726645,0,0.09126,0.09126,0,0,3.0594486515421067,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_brain_nervous_system_cancer,numerical,2,NA,2,5252,0,0,121,1,120,0.02303884234577304,0.0036231884057971015,0.024115755627009645,1,1,1,0.008264462809917356,0.020492567221212545,0,-0.03048,0.03048,0.02719,0.54719875,0.14715151515151514,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_breast_cancer,numerical,2,NA,2,5252,0,0,25,2,23,0.00476009139375476,0.007246376811594203,0.004622186495176849,1,1,1,0.08,0.0026241903164173543,0,0.00851,0.00851,0.53763,0.9514983333333334,1.5718819422405585,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_colorectal_cancer_crc,numerical,2,NA,2,5252,0,0,28,0,28,0.005331302361005331,0,0.005627009646302251,1,NaN,1,0,0.005627009646302251,NaN,-0.01724,0.01724,0.21154,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
metac_site_head_neck_cancer,numerical,2,NA,2,5252,0,0,63,2,61,0.011995430312261995,0.007246376811594203,0.012258842443729904,1,1,1,0.031746031746031744,0.005012465632135701,0,-0.01027,0.01027,0.45664,0.9514983333333334,0.5881297116190021,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_kidney_cancer,numerical,2,NA,2,5252,0,0,4,0,4,7.616146230007616e-4,0,8.038585209003215e-4,1,NaN,1,0,8.038585209003215e-4,NaN,-0.0065,0.0065,0.63757,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
metac_site_liver_cancer,numerical,2,NA,2,5252,0,0,264,2,262,0.05026656511805026,0.007246376811594203,0.05265273311897106,1,1,1,0.007575757575757576,0.04540635630737686,0,-0.04637,0.04637,7.8e-4,0.041859999999999994,0.1313311416949908,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_lung_cancer,numerical,2,NA,2,5252,0,0,169,3,166,0.03217821782178218,0.010869565217391304,0.033360128617363344,1,1,1,0.01775147928994083,0.02249056339997204,0,-0.02844,0.02844,0.03932,0.6087263636363637,0.31841652323580033,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_other_cancer,numerical,2,NA,2,5252,0,0,920,26,894,0.17517136329017516,0.09420289855072464,0.17966237942122187,1,1,1,0.02826086956521739,0.08545948087049723,0,-0.05017,0.05017,2.8e-4,0.022539999999999998,0.4748635346756152,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metac_site_skin_cancer,numerical,2,NA,2,5252,0,0,7,0,7,0.0013328255902513328,0,0.0014067524115755627,1,NaN,1,0,0.0014067524115755627,NaN,-0.0086,0.0086,0.53303,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog1,numerical,5,NA,5,404,4848,0.9230769230769231,233,17,216,0.04436405178979436,0.06159420289855073,0.04340836012861737,1.2231759656652361,1.1764705882352942,1.2268518518518519,0.07296137339055794,0.01818584276993336,0.041188892711080505,0.02378,0.02378,0.63368,0.9514983333333334,1.4166666666666667,1,1,1,1,1,1.4000000000000004,3,1,1,1,1,1,2,3
onc_ecog10,numerical,4,NA,4,46,5206,0.9912414318354913,26,1,25,0.0049504950495049506,0.0036231884057971015,0.00502411575562701,1.1153846153846154,1,1.12,0.038461538461538464,0.0014009273498299083,0.10758620689655182,-0.04058,0.04058,0.78889,0.9514983333333334,0.76,1,1,1,1,1,1,1,1,1,1,1,1,1.6000000000000014,2
onc_ecog11,numerical,4,NA,4,37,5215,0.9929550647372429,20,0,20,0.003808073115003808,0,0.0040192926045016075,1.15,NaN,1.15,0,0.0040192926045016075,NaN,-0.17386,0.17386,0.30341,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,2,2
onc_ecog12,numerical,4,NA,4,32,5220,0.993907083015994,16,0,16,0.0030464584920030465,0,0.003215434083601286,1.1875,NaN,1.1875,0,0.003215434083601286,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,2,2
onc_ecog13,numerical,4,NA,4,29,5223,0.9944782939832445,17,0,17,0.003236862147753237,0,0.0034163987138263667,1.0588235294117647,NaN,1.0588235294117647,0,0.0034163987138263667,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,2
onc_ecog14,numerical,4,NA,4,27,5225,0.9948591012947449,14,0,14,0.0026656511805026656,0,0.0028135048231511255,1.0714285714285714,NaN,1.0714285714285714,0,0.0028135048231511255,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,2
onc_ecog15,numerical,4,NA,4,21,5231,0.996001523229246,11,0,11,0.0020944402132520943,0,0.0022106109324758843,1.0909090909090908,NaN,1.0909090909090908,0,0.0022106109324758843,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,2
onc_ecog16,numerical,4,NA,4,15,5237,0.9971439451637472,9,0,9,0.0017136329017517135,0,0.0018086816720257234,1.1111111111111112,NaN,1.1111111111111112,0,0.0018086816720257234,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1.1999999999999993,2
onc_ecog17,numerical,4,NA,4,14,5238,0.9973343488194973,9,0,9,0.0017136329017517135,0,0.0018086816720257234,1.1111111111111112,NaN,1.1111111111111112,0,0.0018086816720257234,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1.1999999999999993,2
onc_ecog18,numerical,4,NA,4,13,5239,0.9975247524752475,7,0,7,0.0013328255902513328,0,0.0014067524115755627,1.1428571428571428,NaN,1.1428571428571428,0,0.0014067524115755627,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1.4000000000000004,2
onc_ecog19,numerical,4,NA,4,12,5240,0.9977151561309977,6,0,6,0.0011424219345011425,0,0.0012057877813504824,1.1666666666666667,NaN,1.1666666666666667,0,0.0012057877813504824,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1.5,2
onc_ecog2,numerical,5,NA,5,198,5054,0.9623000761614623,110,6,104,0.020944402132520943,0.021739130434782608,0.02090032154340836,1.2727272727272727,1.1666666666666667,1.2788461538461537,0.05454545454545454,8.388088913742486e-4,0.08814102564102551,-0.0152,0.0152,0.83166,0.952027902097902,0.9576923076923077,1,1,1,1,1,1.5,2,1,1,1,1,1,2,3
onc_ecog20,numerical,4,NA,4,10,5242,0.9980959634424981,7,0,7,0.0013328255902513328,0,0.0014067524115755627,1.1428571428571428,NaN,1.1428571428571428,0,0.0014067524115755627,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1.4000000000000004,2
onc_ecog21,numerical,3,NA,3,9,5243,0.9982863670982483,5,0,5,9.52018278750952e-4,0,0.0010048231511254019,1,NaN,1,0,0.0010048231511254019,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog22,numerical,3,NA,3,8,5244,0.9984767707539984,4,0,4,7.616146230007616e-4,0,8.038585209003215e-4,1,NaN,1,0,8.038585209003215e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog23,numerical,3,NA,3,7,5245,0.9986671744097486,4,0,4,7.616146230007616e-4,0,8.038585209003215e-4,1,NaN,1,0,8.038585209003215e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog24,numerical,3,NA,3,6,5246,0.9988575780654989,5,0,5,9.52018278750952e-4,0,0.0010048231511254019,1,NaN,1,0,0.0010048231511254019,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog25,numerical,3,NA,3,6,5246,0.9988575780654989,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,1,NaN,1,0,6.028938906752412e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog26,numerical,3,NA,3,5,5247,0.9990479817212491,3,0,3,5.712109672505713e-4,0,6.028938906752412e-4,1,NaN,1,0,6.028938906752412e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
