Column,Type,NumUniqueValues
patient_id,key,5252
pn_flag,numerical,2
metac_site_bladder_cancer,numerical,2
metac_site_bone_connective_tissue_cancer,numerical,2
metac_site_brain_nervous_system_cancer,numerical,2
metac_site_breast_cancer,numerical,2
metac_site_colorectal_cancer_crc,numerical,2
metac_site_head_neck_cancer,numerical,2
metac_site_kidney_cancer,numerical,2
metac_site_liver_cancer,numerical,2
metac_site_lung_cancer,numerical,2
metac_site_other_cancer,numerical,2
metac_site_skin_cancer,numerical,2
onc_ecog1,numerical,5
onc_ecog10,numerical,4
onc_ecog11,numerical,4
onc_ecog12,numerical,4
onc_ecog13,numerical,4
onc_ecog14,numerical,4
onc_ecog15,numerical,4
onc_ecog16,numerical,4
onc_ecog17,numerical,4
onc_ecog18,numerical,4
onc_ecog19,numerical,4
onc_ecog2,numerical,5
onc_ecog20,numerical,4
onc_ecog21,numerical,3
onc_ecog22,numerical,3
onc_ecog23,numerical,3
onc_ecog24,numerical,3
onc_ecog25,numerical,3
onc_ecog26,numerical,3
onc_ecog27,numerical,3
onc_ecog28,numerical,3
onc_ecog29,numerical,3
onc_ecog3,numerical,4
onc_ecog30,numerical,3
onc_ecog4,numerical,4
onc_ecog5,numerical,4
onc_ecog6,numerical,4
onc_ecog7,numerical,4
onc_ecog8,numerical,4
onc_ecog9,numerical,4
onc_ecog_date10_index_dd,numerical,44
onc_ecog_date11_index_dd,numerical,37
onc_ecog_date12_index_dd,numerical,33
onc_ecog_date13_index_dd,numerical,30
onc_ecog_date14_index_dd,numerical,28
onc_ecog_date15_index_dd,numerical,22
onc_ecog_date16_index_dd,numerical,16
onc_ecog_date17_index_dd,numerical,14
onc_ecog_date18_index_dd,numerical,14
onc_ecog_date19_index_dd,numerical,13
onc_ecog_date1_index_dd,numerical,123
onc_ecog_date20_index_dd,numerical,10
onc_ecog_date21_index_dd,numerical,10
onc_ecog_date22_index_dd,numerical,9
onc_ecog_date23_index_dd,numerical,8
onc_ecog_date24_index_dd,numerical,7
onc_ecog_date25_index_dd,numerical,7
onc_ecog_date26_index_dd,numerical,6
onc_ecog_date27_index_dd,numerical,4
onc_ecog_date28_index_dd,numerical,4
onc_ecog_date29_index_dd,numerical,4
onc_ecog_date2_index_dd,numerical,128
onc_ecog_date30_index_dd,numerical,4
onc_ecog_date3_index_dd,numerical,112
onc_ecog_date4_index_dd,numerical,92
onc_ecog_date5_index_dd,numerical,85
onc_ecog_date6_index_dd,numerical,74
onc_ecog_date7_index_dd,numerical,67
onc_ecog_date8_index_dd,numerical,55
onc_ecog_date9_index_dd,numerical,52
onc_free_testo1,numerical,43
onc_free_testo2,numerical,13
onc_free_testo3,numerical,6
onc_free_testo_date1_index_dd,numerical,51
onc_free_testo_date2_index_dd,numerical,14
onc_free_testo_date3_index_dd,numerical,6
onc_histology_adenocarcinoma,numerical,2
onc_histology_adenocarcinoma_nos,numerical,2
onc_histology_carcinoma_nos,numerical,2
onc_histology_genitourinary_prostate_cancer,numerical,2
onc_histology_small_cell,numerical,2
onc_histology_small_cell_carcinoma,numerical,2
onc_histology_small_cell_carcinoma_nos,numerical,2
onc_histology_transitional_cell_carcinoma,numerical,2
onc_latest_gleason,numerical,10
onc_latest_gleason_date_index_dd,numerical,81
onc_latest_m_date_index_dd,numerical,371
onc_latest_m_m0,numerical,2
onc_latest_m_m1,numerical,2
onc_latest_m_m1a,numerical,2
onc_latest_m_m1b,numerical,2
onc_latest_m_m1c,numerical,2
onc_latest_n_date_index_dd,numerical,297
onc_latest_n_n0,numerical,2
onc_latest_n_n0_i+,numerical,2
onc_latest_n_n0_i-,numerical,2
onc_latest_n_n1,numerical,2
onc_latest_n_n1a,numerical,2
onc_latest_n_n1b,numerical,2
onc_latest_n_n1c,numerical,2
onc_latest_n_n1mi,numerical,2
onc_latest_n_n2,numerical,2
onc_latest_n_n2a,numerical,2
onc_latest_n_n2b,numerical,2
onc_latest_n_n2c,numerical,2
onc_latest_n_n3,numerical,2
onc_latest_n_n3a,numerical,2
onc_latest_stage_date_index_dd,numerical,1142
onc_latest_t_date_index_dd,numerical,285
onc_latest_t_t0,numerical,2
onc_latest_t_t1,numerical,2
onc_latest_t_t1a,numerical,2
onc_latest_t_t1b,numerical,2
onc_latest_t_t1c,numerical,2
onc_latest_t_t2,numerical,2
onc_latest_t_t2a,numerical,2
onc_latest_t_t2b,numerical,2
onc_latest_t_t2c,numerical,2
onc_latest_t_t3,numerical,2
onc_latest_t_t3a,numerical,2
onc_latest_t_t3b,numerical,2
onc_latest_t_t3c,numerical,2
onc_latest_t_t4,numerical,2
onc_latest_t_t4a,numerical,2
onc_latest_t_t4b,numerical,2
onc_latest_t_tis,numerical,2
onc_latest_t_tis_dcis,numerical,2
onc_latest_t_tis_lcis,numerical,2
onc_psa1,numerical,860
onc_psa10,numerical,78
onc_psa11,numerical,75
onc_psa12,numerical,60
onc_psa13,numerical,48
onc_psa14,numerical,40
onc_psa15,numerical,32
onc_psa16,numerical,24
onc_psa17,numerical,20
onc_psa18,numerical,14
onc_psa19,numerical,8
onc_psa2,numerical,477
onc_psa20,numerical,8
onc_psa21,numerical,6
onc_psa22,numerical,6
onc_psa23,numerical,5
onc_psa24,numerical,5
onc_psa25,numerical,4
onc_psa3,numerical,350
onc_psa4,numerical,284
onc_psa5,numerical,236
onc_psa6,numerical,200
onc_psa7,numerical,167
onc_psa8,numerical,135
onc_psa9,numerical,102
onc_psa_date10_index_dd,numerical,80
onc_psa_date11_index_dd,numerical,75
onc_psa_date12_index_dd,numerical,60
onc_psa_date13_index_dd,numerical,45
onc_psa_date14_index_dd,numerical,37
onc_psa_date15_index_dd,numerical,32
onc_psa_date16_index_dd,numerical,23
onc_psa_date17_index_dd,numerical,21
onc_psa_date18_index_dd,numerical,14
onc_psa_date19_index_dd,numerical,8
onc_psa_date1_index_dd,numerical,228
onc_psa_date20_index_dd,numerical,7
onc_psa_date21_index_dd,numerical,6
onc_psa_date22_index_dd,numerical,6
onc_psa_date23_index_dd,numerical,5
onc_psa_date24_index_dd,numerical,5
onc_psa_date25_index_dd,numerical,4
onc_psa_date2_index_dd,numerical,252
onc_psa_date3_index_dd,numerical,265
onc_psa_date4_index_dd,numerical,251
onc_psa_date5_index_dd,numerical,218
onc_psa_date6_index_dd,numerical,197
onc_psa_date7_index_dd,numerical,168
