Column,Type,NumUniqueValues
patient_id,key,70883
pn_flag,numerical,2
age_index,numerical,67
age_pc,numerical,67
c00142_claim_cnt,numerical,8
c00142_flag,numerical,2
c00142_index_max_dd,numerical,631
c00142_index_min_dd,numerical,642
c00142_max_min_dd,numerical,117
c00740_claim_cnt,numerical,9
c00740_flag,numerical,2
c00740_index_max_dd,numerical,567
c00740_index_min_dd,numerical,573
c00740_max_min_dd,numerical,133
c00810_claim_cnt,numerical,7
c00810_flag,numerical,2
c00810_index_max_dd,numerical,719
c00810_index_min_dd,numerical,718
c00810_max_min_dd,numerical,125
c00865_claim_cnt,numerical,5
c00865_flag,numerical,2
c00865_index_max_dd,numerical,474
c00865_index_min_dd,numerical,472
c00865_max_min_dd,numerical,8
c00910_claim_cnt,numerical,14
c00910_flag,numerical,2
c00910_index_max_dd,numerical,528
c00910_index_min_dd,numerical,554
c00910_max_min_dd,numerical,197
c00914_claim_cnt,numerical,6
c00914_flag,numerical,2
c00914_index_max_dd,numerical,521
c00914_index_min_dd,numerical,529
c00914_max_min_dd,numerical,68
c1036f_claim_cnt,numerical,32
c1036f_flag,numerical,2
c1036f_index_max_dd,numerical,728
c1036f_index_min_dd,numerical,732
c1036f_max_min_dd,numerical,711
c1101f_claim_cnt,numerical,20
c1101f_flag,numerical,2
c1101f_index_max_dd,numerical,596
c1101f_index_min_dd,numerical,658
c1101f_max_min_dd,numerical,361
c11100_claim_cnt,numerical,9
c11100_flag,numerical,2
c11100_index_max_dd,numerical,628
c11100_index_min_dd,numerical,632
c11100_max_min_dd,numerical,164
c1123f_claim_cnt,numerical,25
c1123f_flag,numerical,2
c1123f_index_max_dd,numerical,533
c1123f_index_min_dd,numerical,627
c1123f_max_min_dd,numerical,412
c1126f_claim_cnt,numerical,16
c1126f_flag,numerical,2
c1126f_index_max_dd,numerical,491
c1126f_index_min_dd,numerical,573
c1126f_max_min_dd,numerical,335
c1159f_claim_cnt,numerical,28
c1159f_flag,numerical,2
c1159f_index_max_dd,numerical,599
c1159f_index_min_dd,numerical,682
c1159f_max_min_dd,numerical,527
c1160f_claim_cnt,numerical,25
c1160f_flag,numerical,2
c1160f_index_max_dd,numerical,579
c1160f_index_min_dd,numerical,676
c1160f_max_min_dd,numerical,525
c1170f_claim_cnt,numerical,19
c1170f_flag,numerical,2
c1170f_index_max_dd,numerical,563
c1170f_index_min_dd,numerical,663
c1170f_max_min_dd,numerical,397
c11721_claim_cnt,numerical,18
c11721_flag,numerical,2
c11721_index_max_dd,numerical,546
c11721_index_min_dd,numerical,635
c11721_max_min_dd,numerical,437
c17000_claim_cnt,numerical,15
c17000_flag,numerical,2
c17000_index_max_dd,numerical,695
c17000_index_min_dd,numerical,705
c17000_max_min_dd,numerical,423
c17003_claim_cnt,numerical,13
c17003_flag,numerical,2
c17003_index_max_dd,numerical,659
c17003_index_min_dd,numerical,691
c17003_max_min_dd,numerical,355
c17110_claim_cnt,numerical,15
c17110_flag,numerical,2
c17110_index_max_dd,numerical,558
c17110_index_min_dd,numerical,563
c17110_max_min_dd,numerical,179
c2022f_claim_cnt,numerical,11
c2022f_flag,numerical,2
c2022f_index_max_dd,numerical,520
c2022f_index_min_dd,numerical,522
c2022f_max_min_dd,numerical,219
c20610_claim_cnt,numerical,25
c20610_flag,numerical,2
c20610_index_max_dd,numerical,710
c20610_index_min_dd,numerical,720
c20610_max_min_dd,numerical,526
c3008f_claim_cnt,numerical,26
c3008f_flag,numerical,2
c3008f_index_max_dd,numerical,488
c3008f_index_min_dd,numerical,613
c3008f_max_min_dd,numerical,404
c3016f_claim_cnt,numerical,17
c3016f_flag,numerical,2
c3016f_index_max_dd,numerical,478
c3016f_index_min_dd,numerical,523
c3016f_max_min_dd,numerical,303
c3017f_claim_cnt,numerical,25
c3017f_flag,numerical,2
c3017f_index_max_dd,numerical,556
c3017f_index_min_dd,numerical,627
c3017f_max_min_dd,numerical,427
c3074f_claim_cnt,numerical,23
c3074f_flag,numerical,2
c3074f_index_max_dd,numerical,535
c3074f_index_min_dd,numerical,653
c3074f_max_min_dd,numerical,439
c3078f_claim_cnt,numerical,24
c3078f_flag,numerical,2
c3078f_index_max_dd,numerical,556
c3078f_index_min_dd,numerical,663
c3078f_max_min_dd,numerical,496
c3288f_claim_cnt,numerical,14
c3288f_flag,numerical,2
c3288f_index_max_dd,numerical,550
c3288f_index_min_dd,numerical,604
c3288f_max_min_dd,numerical,284
c3570f_claim_cnt,numerical,8
c3570f_flag,numerical,2
c3570f_index_max_dd,numerical,639
c3570f_index_min_dd,numerical,703
c3570f_max_min_dd,numerical,456
c36415_claim_cnt,numerical,68
c36415_flag,numerical,2
c36415_index_max_dd,numerical,732
c36415_index_min_dd,numerical,732
c36415_max_min_dd,numerical,732
c36620_claim_cnt,numerical,5
c36620_flag,numerical,2
c36620_index_max_dd,numerical,446
c36620_index_min_dd,numerical,447
c36620_max_min_dd,numerical,44
c38571_claim_cnt,numerical,6
c38571_flag,numerical,2
c38571_index_max_dd,numerical,437
c38571_index_min_dd,numerical,439
c38571_max_min_dd,numerical,8
c4004f_claim_cnt,numerical,19
c4004f_flag,numerical,2
c4004f_index_max_dd,numerical,530
c4004f_index_min_dd,numerical,564
c4004f_max_min_dd,numerical,303
c4040f_claim_cnt,numerical,28
c4040f_flag,numerical,2
c4040f_index_max_dd,numerical,645
c4040f_index_min_dd,numerical,698
c4040f_max_min_dd,numerical,595
c4048f_claim_cnt,numerical,10
c4048f_flag,numerical,2
c4048f_index_max_dd,numerical,572
c4048f_index_min_dd,numerical,578
c4048f_max_min_dd,numerical,163
c4250f_claim_cnt,numerical,12
c4250f_flag,numerical,2
c4250f_index_max_dd,numerical,594
c4250f_index_min_dd,numerical,604
c4250f_max_min_dd,numerical,158
c4255f_claim_cnt,numerical,12
c4255f_flag,numerical,2
c4255f_index_max_dd,numerical,574
c4255f_index_min_dd,numerical,588
c4255f_max_min_dd,numerical,150
c43239_claim_cnt,numerical,8
c43239_flag,numerical,2
c43239_index_max_dd,numerical,699
c43239_index_min_dd,numerical,708
c43239_max_min_dd,numerical,210
c45378_claim_cnt,numerical,5
c45378_flag,numerical,2
c45378_index_max_dd,numerical,652
c45378_index_min_dd,numerical,646
c45378_max_min_dd,numerical,39
c45380_claim_cnt,numerical,7
c45380_flag,numerical,2
c45380_index_max_dd,numerical,712
c45380_index_min_dd,numerical,710
c45380_max_min_dd,numerical,83
c45385_claim_cnt,numerical,8
c45385_flag,numerical,2
c45385_index_max_dd,numerical,708
c45385_index_min_dd,numerical,707
c45385_max_min_dd,numerical,82
c51700_claim_cnt,numerical,13
c51700_flag,numerical,2
c51700_index_max_dd,numerical,490
c51700_index_min_dd,numerical,525
c51700_max_min_dd,numerical,171
c51702_claim_cnt,numerical,29
c51702_flag,numerical,2
c51702_index_max_dd,numerical,614
c51702_index_min_dd,numerical,673
c51702_max_min_dd,numerical,410
c51741_claim_cnt,numerical,15
c51741_flag,numerical,2
c51741_index_max_dd,numerical,664
