Column,Type,NumUniqueValues,Code,Description,Class
patient_id,key,70883,,,
pn_flag,numerical,2,,,
age_index,numerical,67,,,
age_pc,numerical,67,,,
c00142_claim_cnt,numerical,8,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT
c00142_flag,numerical,2,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT
c00142_index_max_dd,numerical,631,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT
c00142_index_min_dd,numerical,642,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT
c00142_max_min_dd,numerical,117,00142,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,CPT
c00740_claim_cnt,numerical,9,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT
c00740_flag,numerical,2,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT
c00740_index_max_dd,numerical,567,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT
c00740_index_min_dd,numerical,573,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT
c00740_max_min_dd,numerical,133,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",CPT
c00810_claim_cnt,numerical,7,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT
c00810_flag,numerical,2,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT
c00810_index_max_dd,numerical,719,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT
c00810_index_min_dd,numerical,718,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT
c00810_max_min_dd,numerical,125,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",CPT
c00865_claim_cnt,numerical,5,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT
c00865_flag,numerical,2,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT
c00865_index_max_dd,numerical,474,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT
c00865_index_min_dd,numerical,472,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT
c00865_max_min_dd,numerical,8,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",CPT
c00910_claim_cnt,numerical,14,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT
c00910_flag,numerical,2,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT
c00910_index_max_dd,numerical,528,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT
c00910_index_min_dd,numerical,554,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT
c00910_max_min_dd,numerical,197,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,CPT
c00914_claim_cnt,numerical,6,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT
c00914_flag,numerical,2,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT
c00914_index_max_dd,numerical,521,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT
c00914_index_min_dd,numerical,529,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT
c00914_max_min_dd,numerical,68,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,CPT
c1036f_claim_cnt,numerical,32,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT
c1036f_flag,numerical,2,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT
c1036f_index_max_dd,numerical,728,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT
c1036f_index_min_dd,numerical,732,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT
c1036f_max_min_dd,numerical,711,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",CPT
c1101f_claim_cnt,numerical,20,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT
c1101f_flag,numerical,2,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT
